Date,TweetCount
04/02/17,27112
05/02/17,23530
06/02/17,29026
07/02/17,30138
08/02/17,26445
09/02/17,27886
10/02/17,26096
11/02/17,26759
12/02/17,27211
13/02/17,24621
14/02/17,27568
15/02/17,26945
16/02/17,24357
17/02/17,26355
18/02/17,21344
19/02/17,19946
20/02/17,26113
21/02/17,25187
22/02/17,26751
23/02/17,27929
24/02/17,37286
25/02/17,24005
26/02/17,27326
27/02/17,24703
28/02/17,23501
01/03/17,25248
02/03/17,28277
03/03/17,31848
04/03/17,24535
05/03/17,22507
06/03/17,29476
07/03/17,31214
08/03/17,28463
09/03/17,29362
10/03/17,36952
11/03/17,30193
12/03/17,26226
13/03/17,27414
14/03/17,27110
15/03/17,25560
16/03/17,26412
17/03/17,28612
18/03/17,25964
19/03/17,26859
20/03/17,30480
21/03/17,29659
22/03/17,32507
23/03/17,39969
24/03/17,30279
25/03/17,29728
26/03/17,23985
27/03/17,25216
28/03/17,26462
29/03/17,24593
30/03/17,25723
31/03/17,24542
01/04/17,21680
02/04/17,21011
03/04/17,25315
04/04/17,26979
05/04/17,28967
06/04/17,28251
07/04/17,29445
08/04/17,23272
09/04/17,22661
10/04/17,26562
11/04/17,28441
12/04/17,29250
13/04/17,27278
14/04/17,25953
15/04/17,22135
16/04/17,23562
17/04/17,28015
18/04/17,28770
19/04/17,26629
20/04/17,29974
21/04/17,28206
22/04/17,27203
23/04/17,25203
24/04/17,29644
25/04/17,33008
26/04/17,29463
27/04/17,32051
28/04/17,28213
29/04/17,25838
30/04/17,27459
01/05/17,34936
02/05/17,35501
03/05/17,31179
04/05/17,34255
05/05/17,29857
06/05/17,25032
07/05/17,26713
08/05/17,29244
09/05/17,44121
10/05/17,40934
11/05/17,35505
12/05/17,35985
13/05/17,33174
14/05/17,40474
15/05/17,32997
16/05/17,35688
17/05/17,33543
18/05/17,33534
19/05/17,34239
20/05/17,32852
21/05/17,34900
22/05/17,44720
23/05/17,48940
24/05/17,47492
25/05/17,51057
26/05/17,49914
27/05/17,39077
28/05/17,33992
29/05/17,41046
30/05/17,41624
31/05/17,47749
01/06/17,39409
02/06/17,35997
03/06/17,30857
04/06/17,38571
05/06/17,38632
06/06/17,51736
07/06/17,43821
08/06/17,37910
09/06/17,38824
10/06/17,34849
11/06/17,36404
12/06/17,42206
13/06/17,43501
14/06/17,41045
15/06/17,45335
16/06/17,41470
17/06/17,35393
18/06/17,33617
19/06/17,38427
20/06/17,41414
21/06/17,40215
22/06/17,37617
23/06/17,42760
24/06/17,null
25/06/17,null
26/06/17,null
27/06/17,null
28/06/17,null
29/06/17,null
30/06/17,null
01/07/17,null
02/07/17,null
03/07/17,null
04/07/17,null
05/07/17,null
06/07/17,null
07/07/17,null
08/07/17,null
09/07/17,null
10/07/17,null
11/07/17,null
12/07/17,41059
13/07/17,37788
14/07/17,36999
15/07/17,35882
16/07/17,35044
17/07/17,42841
18/07/17,38869
19/07/17,40774
20/07/17,42878
21/07/17,41888
22/07/17,36424
23/07/17,36108
24/07/17,44080
25/07/17,44885
26/07/17,47880
27/07/17,49367
28/07/17,46138
29/07/17,35823
30/07/17,37073
31/07/17,45510
01/08/17,52376
02/08/17,50050
03/08/17,47758
04/08/17,47503
05/08/17,48992
06/08/17,36187
07/08/17,46630
08/08/17,53994
09/08/17,48611
10/08/17,45181
11/08/17,49242
12/08/17,44387
13/08/17,47827
14/08/17,57531
15/08/17,65447
16/08/17,53779
17/08/17,71870
18/08/17,61067
19/08/17,51709
20/08/17,58268
21/08/17,53402
22/08/17,59244
23/08/17,59293
24/08/17,63067
25/08/17,58723
26/08/17,50258
27/08/17,47358
28/08/17,53173
29/08/17,60452
30/08/17,57072
31/08/17,58244
01/09/17,67953
02/09/17,53177
03/09/17,49077
04/09/17,77422
05/09/17,61290
06/09/17,57051
07/09/17,51603
08/09/17,57797
09/09/17,54796
10/09/17,52629
11/09/17,61659
12/09/17,64321
13/09/17,73211
14/09/17,81128
15/09/17,78373
16/09/17,64396
17/09/17,52831
18/09/17,73426
