Date,Price,Open,High,Low
2021-08-18,3016.91,3012.62,3124.51,2951.04
2021-08-17,3014.58,3147.67,3290.03,2993.63
2021-08-16,3147.65,3307.96,3334.22,3138.37
2021-08-15,3308.87,3264.56,3318.61,3115.34
2021-08-14,3264.69,3322.25,3328.38,3209.45
2021-08-13,3322.43,3043.20,3324.53,3035.52
2021-08-12,3043.61,3160.17,3236.28,2981.35
2021-08-11,3163.66,3140.86,3269.70,3122.67
2021-08-10,3140.71,3162.81,3232.02,3057.84
2021-08-09,3162.93,3011.88,3184.84,2899.24
2021-08-08,3012.07,3158.30,3188.49,2949.66
2021-08-07,3158.00,2889.58,3169.74,2867.58
2021-08-06,2889.43,2827.23,2946.62,2726.04
2021-08-05,2827.21,2725.28,2842.95,2533.51
2021-08-04,2725.29,2506.50,2766.46,2462.32
2021-08-03,2506.65,2608.01,2631.43,2445.49
2021-08-02,2608.04,2556.07,2664.73,2513.51
2021-08-01,2556.23,2530.94,2696.38,2515.26
2021-07-31,2532.19,2461.08,2551.68,2421.70
2021-07-30,2460.95,2380.59,2467.40,2320.80
2021-07-29,2380.93,2299.46,2397.71,2269.15
2021-07-28,2299.11,2300.21,2343.49,2246.23
2021-07-27,2300.22,2230.24,2318.68,2152.92
2021-07-26,2229.53,2189.74,2430.01,2174.44
2021-07-25,2189.79,2166.98,2195.03,2108.74
2021-07-24,2151.85,2124.00,2162.29,2106.71
2021-07-23,2123.61,2024.51,2129.66,2000.27
2021-07-22,2024.58,1994.61,2043.26,1952.31
2021-07-21,1994.49,1786.18,2029.51,1758.64
2021-07-20,1786.07,1818.07,1840.36,1720.70
2021-07-19,1818.07,1891.43,1915.15,1807.19
2021-07-18,1892.42,1898.01,1988.24,1881.60
2021-07-17,1897.98,1877.00,1917.80,1851.97
2021-07-16,1878.20,1917.21,1960.21,1852.42
2021-07-15,1917.21,1994.73,2038.91,1884.81
2021-07-14,1994.64,1940.48,2017.99,1868.45
2021-07-13,1940.72,2035.09,2042.61,1920.62
2021-07-12,2035.09,2139.44,2167.60,2008.66
2021-07-11,2139.35,2110.90,2173.34,2081.62
2021-07-10,2111.12,2146.15,2191.30,2078.43
2021-07-09,2145.89,2120.05,2185.62,2066.09
2021-07-08,2120.22,2316.21,2322.47,2095.92
2021-07-07,2316.57,2322.74,2402.68,2296.43
2021-07-06,2322.72,2196.25,2347.47,2194.20
2021-07-05,2196.16,2322.60,2322.60,2163.09
2021-07-04,2323.22,2224.70,2386.20,2222.95
2021-07-03,2224.70,2154.53,2236.97,2115.80
2021-07-02,2154.78,2108.58,2158.70,2019.75
2021-07-01,2109.11,2274.50,2274.63,2077.56
2021-06-30,2273.84,2158.32,2281.55,2090.61
2021-06-29,2158.71,2083.48,2241.86,2076.17
2021-06-28,2083.09,1981.24,2142.84,1962.89
2021-06-27,1979.88,1830.42,1980.70,1808.59
2021-06-26,1830.62,1810.53,1850.40,1719.32
2021-06-25,1810.57,1989.77,2017.47,1793.47
2021-06-24,1989.14,1968.76,2033.96,1886.74
2021-06-23,1968.39,1877.28,2043.10,1823.57
2021-06-22,1876.66,1890.95,1994.32,1707.24
2021-06-21,1891.18,2244.25,2257.86,1868.32
2021-06-20,2243.86,2166.30,2276.83,2045.03
2021-06-19,2166.91,2229.53,2276.70,2164.14
2021-06-18,2229.53,2372.10,2376.62,2142.74
2021-06-17,2371.62,2367.78,2459.11,2309.08
2021-06-16,2367.28,2544.35,2552.12,2353.24
2021-06-15,2543.83,2581.42,2637.90,2512.39
2021-06-14,2581.48,2508.49,2606.91,2467.61
2021-06-13,2508.27,2368.68,2547.90,2311.96
2021-06-12,2368.47,2351.45,2448.04,2260.80
2021-06-11,2351.45,2470.04,2493.48,2324.21
2021-06-10,2469.97,2607.45,2615.46,2432.41
2021-06-09,2606.23,2507.86,2620.74,2408.37
2021-06-08,2510.65,2592.12,2618.70,2320.64
2021-06-07,2592.63,2713.52,2842.88,2581.24
2021-06-06,2713.66,2628.43,2743.53,2614.48
2021-06-05,2628.98,2688.75,2814.02,2555.98
2021-06-04,2686.50,2856.63,2856.63,2557.71
2021-06-03,2853.35,2705.05,2889.19,2666.39
2021-06-02,2706.10,2633.74,2801.00,2554.88
2021-06-01,2633.67,2707.94,2738.23,2529.73
2021-05-31,2708.47,2386.93,2713.98,2279.42
2021-05-30,2386.10,2276.97,2465.84,2181.93
2021-05-29,2276.07,2411.68,2567.42,2207.21
2021-05-28,2414.29,2742.39,2760.17,2332.43
2021-05-27,2735.88,2885.02,2885.87,2638.62
2021-05-26,2884.66,2705.69,2908.37,2648.10
2021-05-25,2705.09,2647.27,2747.49,2388.81
2021-05-24,2646.79,2101.30,2667.20,2080.87
2021-05-23,2101.34,2292.68,2379.89,1739.91
2021-05-22,2291.60,2433.09,2481.06,2162.84
2021-05-21,2433.11,2766.88,2931.66,2111.42
2021-05-20,2777.55,2436.59,2988.52,2163.40
2021-05-19,2435.69,3376.22,3434.01,1922.25
2021-05-18,3377.55,3280.50,3558.57,3244.93
2021-05-17,3279.68,3582.19,3582.27,3130.12
2021-05-16,3582.12,3643.67,3877.20,3351.92
2021-05-15,3641.65,4074.57,4129.99,3639.12
